state,id,para,total,April,May,June,July,August,September,October,November,December,January,February,March,Total,,
,9.06,Number of IUCD removals,TOTAL,4007,4407,4743,4739,4248,5268,5755,5881,7905,9468,10690,15920,83031,,
,9.07,Number of Oral Pills cycles distributed,TOTAL,170566,155642,169035,164283,164438,172673,257099,198248,146986,186411,188365,178961,2152707,,
,9.08,Number of Condom pieces distributed,TOTAL,2662820,2747906,3218941,2932701,3081834,3123472,3096322,2453206,2601626,2702456,2495598,1823991,32940873,,
,9.09,Number of Centchroman (weekly) pills given,TOTAL,1550,166,1576,2749,2254,1704,4409,3856,10652,4822,8897,15458,58093,,
,9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,672,681,387,600,650,847,641,1147,5510,6773,1229,1334,20471,,
,9.11.1.a,Number of cases of complications following male sterilization,TOTAL,,,,,,13,5,1,93,117,99,85,413,,
,9.11.1.b,Number of cases of complications following female sterilization,TOTAL,17,7,4,4,5,320,343,38,280,370,213,224,1825,,
,9.11.2.a,Number of failures following male sterilization,TOTAL,,,,,,0,0,0,5,1,10,2,18,,
,9.11.2.b,Number of failures following female sterilization,TOTAL,,6,2,7,1,4,4,16,15,58,33,29,175,,
,9.11.3.a,Number of deaths following male sterilization,TOTAL,,,,,,0,0,0,0,0,0,0,0,,
,9.11.3.b,Number of deaths following female sterilization,TOTAL,,,,,,0,0,0,1,1,0,0,2,,
,9.12,Number of Institutions having NSV trained doctors,TOTAL,30,30,36,24,24,65,63,204,357,516,592,683,-1,,
,10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,71466,93977,103442,99793,99965,110857,106113,107596,114515,98481,102656,112886,1221747,,
,10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,77898,92579,100275,99477,97481,102319,100825,101454,110766,90058,78688,70173,1121993,,
,10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,77417,90322,95922,98215,97939,99720,98177,97528,106732,98969,92715,77693,1131349,,
,10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,77934,94149,99748,99682,102437,104737,100712,98535,106417,98618,101630,91723,1176322,,
,10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,,,,,,0,0,92,764,834,572,579,2841,,
,10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,,,,,,0,0,104,746,711,734,593,2888,,
,10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,,,,,,0,0,100,541,702,739,694,2776,,
,10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,53852,67822,76919,75479,77921,83962,81179,83806,87968,72387,75035,76403,912733,,
,10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,71896,92290,100333,99153,96930,101292,100540,100881,109980,96692,96061,97636,1163684,,
,10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,71847,90616,96856,98687,97471,98739,98142,97411,107004,99817,100621,100212,1157423,,
,10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,72948,94664,101076,100219,102540,104274,100547,100097,107630,99648,104057,103953,1191653,,
,10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,6733,11061,18720,17116,18941,20114,18738,25881,23520,26716,18861,8608,215009,,
,10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,71372,86895,94497,95440,89955,97603,96921,97321,103901,79655,62671,48713,1024944,,
,10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,71787,84427,89176,94859,90288,94502,94490,94188,99651,90766,81597,57821,1043552,,
,10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,72495,86583,91861,94510,93337,97825,95773,95642,100405,91090,95090,77670,1092281,,
,10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,72938,90360,104041,102280,100865,103075,97539,96357,103820,93334,97258,104683,1166550,,
,10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,8716,14364,8359,10291,9122,11438,10482,11366,16223,17109,15993,20294,153757,,
,10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,,,,,,,,0,0,0,0,0,0,,
,10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,37159,47064,53077,53692,52121,52397,50295,49857,55484,50228,51844,57576,610794,,
,10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,34207,41418,48291,46791,46951,47797,45294,44654,50139,45991,46165,50664,548362,,
,10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,71366,88482,101368,100483,99072,100194,95589,94511,105623,96219,98009,108240,1159156,,
,10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,63742,78549,85664,86999,81716,86345,79554,80947,85990,79234,86465,95140,990345,,
,10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,59514,78882,86481,86157,80529,85266,79637,80700,85661,78357,85855,94745,981784,,
,10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,1578,1523,1156,724,1242,276,292,343,1138,1726,1668,3044,14710,,
,10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,17255,23212,23008,21537,23096,23238,23351,22784,28135,26122,26157,28999,286894,,
,10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,15667,21291,21180,19798,21002,20780,21213,21006,25090,23981,23838,26108,260954,,
,10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,32922,44503,44188,41335,44098,44018,44564,43790,53225,50103,49995,55107,547848,,
,10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,22286,31448,37096,58358,102165,75374,53502,42003,50793,59929,67720,68795,669469,,
,10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,23038,32379,36849,67740,111982,81573,63131,48328,57212,70700,78924,78868,750724,,
,10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,34122,45818,51178,68513,95862,75619,64183,55472,64089,66329,69159,70727,761071,,
,10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,23,11,16,21,17,35,26,20,98,79,63,148,557,,
,10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,,1,,,1,0,0,0,1,0,8,2,13,,
,10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,245,227,510,326,292,311,236,330,420,593,490,694,4674,,
,10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,32846,37438,38681,37731,38601,37732,38122,38327,39027,38215,39229,41205,457154,,
,10.4.2,Number of Immunisation sessions held during the month,TOTAL,30819,35384,38064,37190,37526,36590,36740,36962,38177,37248,38199,40826,443725,,
,10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,25850,29197,31240,31637,30908,30475,30504,31239,33211,32811,34149,36181,377402,,
,10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,,,,,,0,0,0,10,5,7,90,112,,
,11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,60305,78158,88183,92532,87165,92869,90472,87697,90950,83137,92573,112196,1056237,,
,11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,3213,5036,2774,2505,77906,812472,140732,25591,6211,6912,172822,608216,1864390,,
,11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,2532,2984,1435,1846,42365,313418,131210,10258,3531,3958,145088,431264,1089889,,
,12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,,1,6,1,,7,8,6,0,6,3,269,307,,
,12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,2,,,,,14,0,0,0,0,2,0,18,,
,12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,,1,,,3,4,0,0,0,0,0,195,203,,
,12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,1,,1,,,1,0,0,0,0,2,87,92,,
,12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,,,,,,0,0,0,0,0,0,0,0,,
,12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,132,138,72,71,49,51,63,168,169,165,437,513,2028,,
,12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,12187,14098,14122,16842,18824,16287,17124,16273,15958,16729,16850,18376,193670,,
,12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,345,630,563,1022,766,1157,1201,1778,2074,1624,1587,1173,13920,,
,12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,1758,2137,2728,3308,3186,3469,3627,3254,2434,1669,1660,1881,31111,,
,13.1,Number of Patients operated for cataract,TOTAL,10428,10488,10548,12410,12020,11773,11566,8997,12521,15141,25200,13575,154667,,
,13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,7281,7812,7905,8672,8019,7531,6955,5065,7104,11009,23135,13120,113608,,
,13.3,Number of School children detected with Refractive errors,TOTAL,2507,748,1002,2489,16701,25130,24656,30813,46315,130765,282405,173252,736783,,
,13.4,Number of children provided free glasses,TOTAL,1607,494,963,1929,2790,7206,6774,3600,4890,9826,17444,17706,75229,,
,13.5,Number of eyes collected through eye donation,TOTAL,87,115,55,82,77,77,80,80,77,97,154,477,1458,,
,13.6,Number of eyes utilised for corneal transplant,TOTAL,86,75,50,60,58,73,60,78,72,84,57,73,826,,
,14.01,Number of CHC or SDH or DH functioning as First Referral units (FRUs),TOTAL,136,135,126,126,133,129,119,157,186,217,236,251,-1,,
,14.02,Number of PHCs functioning 24X7 with atleast 3 Staff Nurses,TOTAL,158,181,197,198,198,186,169,269,367,469,477,559,-1,,
,14.03,Number of Anganwadi centres reported to have conducted VHNDs,TOTAL,15278,14518,16125,17460,17696,14708,15015,21216,24102,25129,29810,31039,-1,,
,14.04,Number of facilities having a Rogi Kalyan Samiti (RKS),TOTAL,1036,1015,1045,972,1103,987,898,948,751,620,439,400,-1,,
,14.05,Number of RKS meetings held during the month,TOTAL,209,295,333,290,437,409,334,386,307,505,441,430,4376,,
,14.06,Number of facilities having Ambulance services (Assured Referral Services),TOTAL,448,472,377,386,462,370,372,610,660,796,872,971,-1,,
,14.07,Total Number of times the Ambulance was used for transporting patients during the month,TOTAL,1364,1522,2276,2412,2133,3512,3454,3602,3299,4654,5212,7788,41228,,
,14.08,Number of Institutions having Operational Sick New Born and Child Care Units (SNCU),TOTAL,82,80,84,97,123,204,138,149,209,240,207,249,-1,,
,14.09,Number of functional Laproscopes in CHC/SDH/DH,TOTAL,96,100,89,113,96,106,101,157,141,262,289,332,-1,,
,14.10.1.a,Number of male patients admitted (Inpatients) during the month,1. Children,5989,6416,9059,9460,7273,9083,8699,9454,11638,14518,13876,13885,119350,,
,,,2. Adults,14071,17246,21319,26283,22033,26487,26669,26314,28758,36475,47933,51054,344642,,
,14.10.1.b,Number of female patients (Inpatients) admitted during the month,1. Children,6186,6753,8362,8605,7037,8869,8666,8729,12489,14837,14630,16033,121196,,
,,,2. Adults,22128,27033,34079,36137,35887,43997,42594,42722,61050,65923,76101,80153,567804,,
,14.10.1.c,Total number of patients admitted (Inpatients) during the month (sum of items 14.10.1.a and 14.10.1.b),1. Children,12175,13169,17421,18065,14310,17952,17365,18183,24127,29355,28506,29918,240546,,
,,,2. Adults,36199,44279,55398,62420,57920,70484,69263,69036,89808,102398,124034,131207,912446,,
,14.10.2.a,Number of death cases of Inpatient males,TOTAL,144,175,197,200,204,221,235,259,251,425,387,458,3156,,
,14.10.2.b,Number of death cases of Inpatient females,TOTAL,77,88,171,107,118,129,201,152,140,541,368,420,2512,,
,14.10.2.c,Number of cases of death of Inpatients (sum of items 14.10.2.a and 14.10.2.b),TOTAL,221,263,368,307,322,350,436,411,391,966,755,878,5668,,
,14.11,In-Patient Head Count at midnight,TOTAL,28914,43695,60936,33128,48905,54451,54685,46052,52515,53810,64828,90105,632024,,
,14.12.1,OPD attendance (All),TOTAL,863033,968717,1050950,1222583,1134777,1450260,1485611,1323352,1488971,1607837,1779370,2016944,16392405,,
,14.13.1,Number of major operations carried out using general or spinal anaesthesia,TOTAL,2085,2939,2534,2872,3150,3435,3496,2815,6395,7752,13229,7913,58615,,
,14.13.1A,"Out of 14.13.1,Gynecology- Hysterectomy surgeries",TOTAL,,,,,,0,,0,,0,0,6,6,,
,14.13.2,Number of minor operations carried out without anaesthesia or using local anaesthesia,TOTAL,6250,4914,5610,5318,3743,4739,3810,5740,12985,16537,14241,10500,94387,,
,14.14.a,Number of patients given AYUSH treatment,TOTAL,10169,9321,7454,9793,10346,14470,14839,15198,19755,22240,25302,29793,188680,,
,14.14.b,Number of patients on whom Dental Procedure was conducted,TOTAL,4510,4421,6185,5728,4541,5605,4920,5749,5765,5005,6647,8630,67706,,
,14.14.c,Number of Adolescents counselled,TOTAL,5905,5821,7095,19199,19102,5868,4699,4987,5969,1803,5103,5280,90831,,
,15.1.1.a,Number of Haemoglobin (Hb) tests conducted,TOTAL,94851,97188,112618,129390,111085,135620,138756,134478,175802,176929,200032,221792,1728541,,
,15.1.1.b,"Out of the total number of Hb tests conducted, number of cases having Hb less than 7gm/dl",TOTAL,3451,4419,4351,5420,4048,5014,5965,5502,6701,7483,9086,10185,71625,,
,15.1.2.a,Number of HIV tests conducted on males,1. Number tested,12808,11852,13354,15517,14479,15418,16375,16922,19911,23584,27555,29365,217140,,
,,,2. Number Positive,127,238,304,274,474,247,286,284,469,604,440,598,4345,,
,15.1.2.b,Number of HIV tests conducted on Female-Non ANC (i.e. non pregnant females),1. Number tested,10253,9571,10420,12389,10940,14277,14387,13486,18859,25210,23903,24538,188233,,
,,,2. Number Positive,210,119,183,232,280,153,334,357,348,322,283,528,3349,,
,15.1.2.c,Number of HIV tests conducted on Female with ANC (i.e. pregnant females),1. Number tested,16812,18827,26941,28321,24242,25171,27190,24661,30863,31256,36949,37838,329071,,
,,,2. Number Positive,233,134,160,317,384,439,364,533,1250,1309,1151,1633,7907,,
,15.1.2.d,Total number of HIV tests conducted (sum of items 15.1.2.a to 15.1.2.c),1. Number tested,39873,40250,50715,56227,49661,54866,57952,55069,69633,80050,88407,91741,734444,,
,,,2. Number Positive,570,491,647,823,1138,839,984,1174,2067,2235,1874,2759,15601,,
,15.2,Number of Widal tests conducted,Number tested,4583,4216,4755,5521,7559,8180,9559,8972,6196,8957,8183,10401,87082,,
,15.3.a,Number of VDRL tests conducted on males,Number tested,3028,2033,2768,2825,2772,3404,2692,2609,3406,3607,4542,4942,38628,,
,15.3.b,Number of VDRL tests conducted on Female-Non ANC (i.e. non pregnant females),Number tested,2878,1998,3038,2628,2543,2778,2771,3160,3900,3548,4771,4881,38894,,
,15.3.c,Number of VDRL tests conducted on Female with ANC (i.e. pregnant females),Number tested,3923,5356,5995,6095,6589,7425,6576,7428,9168,10406,11521,12134,92616,,
,15.3.d,Total number of VDRL tests conducted (sum of items 15.3.a to 15.3.c),Number tested,9829,9387,11801,11548,11904,13607,12039,13197,16474,17561,20834,21957,170138,,
,15.4.1,Number of blood smears examined for Malaria,TOTAL,239767,234763,343521,324426,314629,450006,490133,345785,324450,251037,288404,340846,3947767,,
,15.4.2,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Vivax",TOTAL,1726,3047,4204,4369,5114,5998,5096,3498,2020,1741,1965,5050,43828,,
,15.4.3,"Out of blood smears examined for malaria, number of blood smears tested positive for Plasmodium Falciparum",TOTAL,51,750,294,241,594,965,1160,1000,440,817,587,110,7009,,
,16.1.1,Stock position of DPT vaccines,1. Balance From Previous Month,564130,403870,667679,515040,580700,468780,420725,598027,424510,372810,236640,275820,5528731,,
,,,2. Stocks Received,269500,510420,457300,707000,452500,399750,560000,297500,327500,252500,282250,185500,4701720,,
,,,3. Unusable Stock,22600,21510,31780,82200,39410,9800,30550,89900,44250,20700,21240,0,413940,,
,,,4. Stock Distributed,385980,464110,589319,609850,496400,356090,412448,330539,355960,334831,251900,199910,4787337,,
,,,5. Total Stock,425050,428670,503880,529990,497390,502640,537727,475088,351800,269779,245750,261410,5029174,,
,16.1.1A,Stock Position of Pentavalent,1. Balance From Previous Month,,,,,,,,,,,,,,,
,,,2. Stocks Received,,,,,,,,,,,,,,,
,,,3. Unusable Stock,,,,,,,,,,,,,,,
,,,4. Stock Distributed,,,,,,,,,,,,,,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,16.1.2,Stock position of OPV vaccines,1. Balance From Previous Month,2454330,331260,413620,385310,542460,457276,472569,553999,383750,2738270,625290,810400,10168534,,
,,,2. Stocks Received,1486780,637220,606520,825640,470000,599580,582000,418000,5535000,1621140,4426140,508000,17716020,,
,,,3. Unusable Stock,621100,30470,67070,61700,34864,46396,31520,59160,57080,426340,398100,0,1833800,,
,,,4. Stock Distributed,3049185,572850,538230,623470,488056,517160,545840,497112,3147740,3571230,3637200,989400,18177473,,
,,,5. Total Stock,270825,365160,414840,525780,489540,493300,477209,415727,2713930,361840,1016130,329000,7873281,,
,16.1.3,Stock position of TT vaccines,1. Balance From Previous Month,404135,383110,495493,529135,416120,314210,329510,409960,378670,403535,282465,335820,4682163,,
,,,2. Stocks Received,282000,469090,415700,435500,333000,465020,437000,290000,370000,271000,334000,205500,4307810,,
,,,3. Unusable Stock,21300,19530,25200,69800,37540,27650,26100,11900,37950,20200,21000,0,318170,,
,,,4. Stock Distributed,335835,397320,409248,534385,413640,383830,367280,328920,313155,333490,251625,257555,4326283,,
,,,5. Total Stock,329000,435350,476745,360450,297940,367750,373130,359140,397565,320845,343840,283765,4345520,,
,16.1.4,Stock position of DT vaccines,1. Balance From Previous Month,34015,26495,13945,12465,5510,22410,37300,48190,48100,57600,4000,3830,313860,,
,,,2. Stocks Received,6000,,9000,6500,28000,0,18000,18000,18000,18000,15000,0,136500,,
,,,3. Unusable Stock,,,,,,0,,0,0,5500,750,0,6250,,
,,,4. Stock Distributed,15335,12550,10480,13455,11100,12110,12700,13520,13500,17500,14420,300,146970,,
,,,5. Total Stock,24680,13945,12465,5510,22410,10300,42600,52670,52600,52600,3830,3530,297140,,
,16.1.5,Stock position of BCG vaccines,1. Balance From Previous Month,53350,89420,96435,73890,102140,147160,102590,132910,108920,103790,71310,97990,1179905,,
,,,2. Stocks Received,184500,175420,184200,194000,221000,136130,154000,139000,160000,118000,122500,76500,1865250,,
,,,3. Unusable Stock,8500,7480,16810,14300,11430,13400,8800,10300,15500,6800,7900,0,121220,,
,,,4. Stock Distributed,145154,171050,191685,166710,168910,175390,131420,165812,146220,126610,90350,112150,1791461,,
,,,5. Total Stock,84196,86310,72140,86880,142800,94500,116370,95798,107200,88380,95560,62340,1132474,,
,16.1.6,Stock position of Measles vaccines,1. Balance From Previous Month,276765,289585,332653,331765,286105,1336943,1435506,561796,368925,273475,198475,186755,5878748,,
,,,2. Stocks Received,189600,153665,159170,202500,3167100,1116745,576000,103100,65170,53000,59500,77050,5922600,,
,,,3. Unusable Stock,5300,4520,8015,13300,9940,5600,159450,87100,7800,6400,9900,0,317325,,
,,,4. Stock Distributed,165490,168320,179088,208945,1922517,1565398,1277755,180001,139970,96470,72705,106665,6083324,,
,,,5. Total Stock,295575,270410,304720,312020,1520748,882690,574301,397795,286325,223605,175370,157140,5400699,,
,16.1.7,Stock position of JE vaccines,1. Balance From Previous Month,,,,,,0,,0,0,2750,7750,4300,14800,,
,,,2. Stocks Received,,,,,,0,,0,6000,12000,12000,21000,51000,,
,,,3. Unusable Stock,,,,,,0,,0,0,0,0,0,0,,
,,,4. Stock Distributed,,,,,,0,,0,3250,7000,6450,12500,29200,,
,,,5. Total Stock,0,0,0,0,0,0,0,0,2750,7750,13300,12800,36600,,
,16.1.8,Stock position of Hepatitis B vaccines,1. Balance From Previous Month,367236,382347,266750,390337,356421,379144,361614,361214,319133,266095,192060,208330,3850681,,
,,,2. Stocks Received,360600,296688,343920,263450,321700,352155,290700,244600,209600,200600,188700,143100,3215813,,
,,,3. Unusable Stock,14700,18172,27238,29150,17012,28800,21900,23970,33800,15700,17240,0,247682,,
,,,4. Stock Distributed,235688,316230,326817,274817,290530,354900,319090,264110,241710,236230,151960,169000,3181082,,
,,,5. Total Stock,477448,344633,256615,349820,370579,347599,311324,317734,253223,214765,211560,182430,3637730,,
,16.2.1,Stock Position of IU 380 A (to be used for Family Planning),1. Balance From Previous Month,93062,94542,89367,82517,68178,86778,116302,90762,61126,58943,47973,44492,934042,,
,,,2. Stocks Received,36000,35400,22070,75,63150,98024,8558,2950,31694,7266,33026,7200,345413,,
,,,3. Unusable Stock,1600,2100,425,200,6515,11950,950,800,500,0,500,0,25540,,
,,,4. Stock Distributed,18121,48627,35870,19064,35031,56300,28748,20236,24176,23087,43207,7461,359928,,
,,,5. Total Stock,109341,79215,75142,63328,89782,116552,95162,72676,68144,43122,37292,44231,893987,,
,16.2.2,Stock Position of Condoms (to be used for Family Planning),1. Balance From Previous Month,202954,345662,903101,1049466,444468,1078886,1884854,823593,1386926,1067224,305765,247886,9740785,,
,,,2. Stocks Received,714200,2055000,1286000,1056000,2347000,3064800,577200,875453,1527960,90000,1000,159500,13754113,,
3. Unusable Stock,,,27000,3000,153000,18000,336000,297000,45000,41000,78000,30000,10000,0,1038000,,,
4. Stock Distributed,,,506684,1688464,1277221,1610298,1435842,2189832,1634961,807420,1564662,773597,99080,95317,13683378,,,
5. Total Stock,,,383470,709198,758880,477168,1019626,1656854,782093,850626,1272224,353627,197685,312069,8773520,,,
16.2.3,Stock Position of Oral Contraceptive (to be used for Family Planning),1. Balance From Previous Month,25724,33825,54381,60224,31304,93802,247600,69852,61966,80038,27289,43581,829586,,,
,,2. Stocks Received,32000,81970,86000,20000,192400,328570,58000,17600,86400,25000,0,8000,935940,,,
,,3. Unusable Stock,2000,1000,9600,1200,24700,19100,1400,5300,2000,2700,400,0,69400,,,
,,4. Stock Distributed,15276,66183,81957,62420,102682,166072,146948,56586,62348,62188,5826,14272,842758,,,
,,5. Total Stock,40448,48612,48824,16604,96322,237200,157252,25566,84018,40150,21063,37309,853368,,,
16.2.4,Stock Position of Emergency Contraceptive (to be used for Family Planning),1. Balance From Previous Month,4041,4241,21371,16314,16669,13864,9235,6079,7521,11641,5451,6400,122827,,,
,,2. Stocks Received,7000,33640,31798,15000,9000,0,,0,6000,0,0,0,102438,,,
,,3. Unusable Stock,,,,,,0,,40,500,0,0,0,540,,,
,,4. Stock Distributed,6272,16795,37495,20785,12491,5408,2996,718,150,3705,1201,3150,111166,,,
,,5. Total Stock,4769,21086,15674,10529,13178,8456,6239,5321,12871,7936,4250,3250,113559,,,
16.2.5,Stock Position of Tubal Rings (to be used for Family Planning),1. Balance From Previous Month,40713,49206,50718,79418,69528,66582,77739,63192,57209,53263,42872,42496,692936,,,
,,2. Stocks Received,,4118,9825,,3165,21639,1000,5027,23966,3655,7100,5000,84495,,,
,,3. Unusable Stock,600,1200,,800,1000,600,1249,2065,2100,1600,3000,0,14214,,,
,,4. Stock Distributed,2777,4489,7570,16788,8761,12602,11957,14700,27645,13651,7376,1837,130153,,,
,,5. Total Stock,37336,47635,52973,61830,62932,75019,65533,51454,51430,41667,39596,45659,633064,,,
16.3.01,Stock Position of Oxytocin Injection,1. Balance From Previous Month,8727,3924,2521,1758,761,741,991,1341,10625,12850,6965,11767,62971,,,
,,2. Stocks Received,,50,,,300,4975,,1600,2638,8000,1175,0,18738,,,
,,3. Unusable Stock,,360,,,,2500,,0,73,0,0,0,2933,,,
,,4. Stock Distributed,5423,1043,713,997,70,925,125,541,2793,10735,1528,3803,28696,,,
,,5. Total Stock,3304,2571,1808,761,991,2291,866,2400,10397,10115,6612,7964,50080,,,
16.3.02,Stock Position of Gloves,1. Balance From Previous Month,18749,18309,15600,32748,44149,30723,32735,29883,23557,22544,21461,54999,345457,,,
,,2. Stocks Received,330,190,16256,15496,157,4702,6128,38,5904,16625,34795,135,100756,,,
,,3. Unusable Stock,,2,,18,22,68,,125,1835,244,0,0,2314,,,
,,4. Stock Distributed,1249,2311,1261,5275,24228,3616,3606,4763,5327,4130,4700,3019,63485,,,
,,5. Total Stock,17830,16186,30595,42951,20056,31741,35257,25033,22299,34795,51556,52115,380414,,,
16.3.03,Stock Position of MVA Syringes,1. Balance From Previous Month,1,1,1,1,1,1,1,1,1,1,1,1,12,,,
,,2. Stocks Received,,,,,,0,,0,0,0,0,0,0,,,
,,3. Unusable Stock,,,,,,0,,0,0,0,0,0,0,,,
,,4. Stock Distributed,,,,,,0,,0,0,0,0,0,0,,,
,,5. Total Stock,1,1,1,1,1,1,1,1,1,1,1,1,12,,,
16.3.04,Stock Position of Fluconazole Tablets,1. Balance From Previous Month,530,700,500,500,200,200,100,0,0,0,100,0,2830,,,
,,2. Stocks Received,1000,500,,,,0,,0,0,100,0,0,1600,,,
,,3. Unusable Stock,,,,,,0,,0,0,0,0,0,0,,,
,,4. Stock Distributed,800,200,,300,,100,100,0,0,0,100,0,1600,,,
,,5. Total Stock,730,1000,500,200,200,100,0,0,0,100,0,0,2830,,,
16.3.05,Stock Position of Blood Transfusion Sets,1. Balance From Previous Month,2000,500,,,,0,,0,0,0,0,0,2500,,,
,,2. Stocks Received,,1000,,,,0,,0,0,0,0,0,1000,,,
,,3. Unusable Stock,,,,,,0,,0,0,0,0,0,0,,,
,,4. Stock Distributed,1500,500,,,,0,,0,0,0,0,0,2000,,,
,,5. Total Stock,500,1000,0,0,0,0,0,0,0,0,0,0,1500,,,
16.3.06,Stock Position of Gluteraldehyde solution of 2% concentration,1. Balance From Previous Month,218,208,202,307,274,433,446,434,297,123,279,315,3536,,,
,,2. Stocks Received,,6000,226,,163,40,117,0,26,16,0,0,6588,,,
,,3. Unusable Stock,,,,,,13,11,0,11,10,0,0,45,,,
,,4. Stock Distributed,10,6,121,32,4,55,69,87,85,31,37,12,549,,,
,,5. Total Stock,208,6202,307,275,433,405,483,347,227,98,242,303,9530,,,
16.3.07,Stock Position of IFA Tablets,1. Balance From Previous Month,15729398,12322088,8614174,7101736,9755606,5231336,4522986,1886136,753606,1112256,3481206,10854116,81364644,,,
,,2. Stocks Received,10380000,6572400,612000,4526000,98830,90000,2325000,657300,812200,4930500,9073500,8200000,48277730,,,
,,3. Unusable Stock,3040000,525000,49000,911000,213000,105000,21000,18000,0,7000,2700000,0,7589000,,,
,,4. Stock Distributed,12032738,10558682,2850438,1402130,4488100,1840350,4093850,1687830,645550,5234550,7361590,15540500,67736308,,,
,,5. Total Stock,11036660,7810806,6326736,9314606,5153336,3375986,2733136,837606,920256,801206,2493116,3513616,54317066,,,
16.3.08,Stock Position of IFA Syrup (Paediatric),1. Balance From Previous Month,204881,132251,71463,42321,6827,4346,3944,2383,6120,8662,3831,1754,488783,,,
,,2. Stocks Received,154680,525,75,3000,2465,900,125,800,7065,560,2150,3490,175835,,,
,,3. Unusable Stock,41140,1680,70,,,30,25,0,0,0,20,0,42965,,,
